frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
37,False,False,0.000000,0.000000,0.870000,0.000000,128.809998,2.950000,0.000000,326.190002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
38,False,False,0.000000,0.000000,0.890000,0.000000,131.479996,2.950000,0.000000,320.769989,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
39,False,False,0.000000,0.000000,0.910000,0.000000,134.110001,2.950000,0.000000,315.350006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
40,False,False,0.000000,0.000000,0.930000,0.000000,136.690002,2.950000,0.000000,309.929993,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
41,False,False,0.000000,0.000000,0.950000,0.000000,139.229996,2.950000,0.000000,304.509979,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
42,False,False,0.000000,0.000000,0.970000,0.000000,141.720001,2.950000,0.000000,299.089996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
43,False,False,0.000000,0.000000,0.990000,0.000000,144.169998,2.950000,0.000000,293.669983,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
44,False,False,0.000000,0.000000,1.010000,0.000000,146.569992,2.950000,0.000000,288.250000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
45,False,False,0.000000,0.000000,1.030000,0.000000,148.929993,2.950000,0.000000,282.829987,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
46,False,False,0.000000,0.000000,1.050000,0.000000,151.239990,2.950000,0.000000,277.410004,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
47,False,False,0.000000,0.000000,1.070000,0.000000,153.509995,2.950000,0.000000,271.989990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
48,False,False,0.000000,0.000000,1.090000,0.000000,155.729996,2.950000,0.000000,266.570007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
49,False,False,0.000000,0.000000,1.110000,0.000000,157.910004,2.950000,0.000000,261.149994,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
50,False,False,0.000000,0.000000,1.130000,0.000000,160.039993,2.950000,0.000000,255.729996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
51,False,False,0.000000,0.000000,1.150000,0.000000,162.129990,2.950000,0.000000,250.309998,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
52,False,False,0.000000,0.000000,1.170000,0.000000,164.169998,2.950000,0.000000,244.889999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
53,False,False,0.000000,0.000000,1.190000,0.000000,166.169998,2.950000,0.000000,239.470001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
54,False,False,0.000000,0.000000,1.210000,0.000000,168.119995,2.950000,0.000000,234.049988,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
55,False,False,0.000000,0.000000,1.230000,0.000000,170.029999,2.950000,0.000000,228.629990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
56,False,False,0.000000,0.000000,1.250000,0.000000,171.889999,2.950000,0.000000,223.209991,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
57,False,False,0.000000,0.000000,1.270000,0.000000,173.699997,2.950000,0.000000,217.789993,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
58,False,False,0.000000,0.000000,1.290000,0.000000,175.470001,2.950000,0.000000,212.369995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,1.310000,0.000000,177.190002,2.950000,0.000000,206.949997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,1.330000,0.000000,178.869995,2.950000,0.000000,201.529999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,1.350000,0.000000,180.500000,2.950000,0.000000,196.110001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,1.370000,0.000000,182.089996,2.950000,0.000000,190.690002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,1.390000,0.000000,183.629990,2.950000,0.000000,185.269989,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,1.410000,0.000000,185.129990,2.950000,0.000000,179.849991,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,1.430000,0.000000,186.580002,2.950000,0.000000,174.429993,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,1.450000,0.000000,187.989990,2.950000,0.000000,169.009995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,1.470000,0.000000,189.349991,2.950000,0.000000,163.589996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
68,False,False,0.000000,0.000000,1.490000,0.000000,190.669998,2.950000,0.000000,158.169998,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
69,False,False,0.000000,0.000000,1.510000,0.000000,191.940002,2.950000,0.000000,152.750000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
