frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,True,True,-1.000000,1.000000,52.709999,-17.490000,18.639999,352.489990,-156.309998,8.440000,0.000402,0.002937,-0.149369,0.988777,0.000000,0.000000,-1.844000
35,True,True,-1.000000,1.000000,55.649998,-18.789999,18.639999,359.519989,-164.410004,8.440000,0.000423,0.002932,-0.156959,0.987601,0.000000,0.000000,-1.870600
36,True,True,-1.000000,1.000000,58.649998,-20.160000,18.639999,366.269989,-172.759995,8.440000,0.000445,0.002927,-0.164653,0.986347,0.000100,0.000000,-1.895900
37,True,True,-1.000000,1.000000,61.699997,-21.600000,18.639999,372.729980,-181.360001,8.440000,0.000467,0.002921,-0.172437,0.985016,0.000200,0.000000,-1.920000
38,True,True,-1.000000,1.000000,64.809998,-23.109999,18.639999,378.899994,-190.199997,8.440000,0.000488,0.002916,-0.180314,0.983605,0.000200,0.000000,-1.942900
39,True,True,-1.000000,1.000000,67.970001,-24.689999,18.639999,384.769989,-199.279999,8.440000,0.000515,0.002910,-0.188271,0.982113,0.000300,0.000000,-1.964700
40,True,True,-1.000000,1.000000,71.180000,-26.349998,18.639999,390.329987,-208.589996,8.440000,0.000542,0.002905,-0.196304,0.980539,0.000300,0.000000,-1.985400
41,True,True,-1.000000,1.000000,74.430000,-28.090000,18.639999,395.569977,-218.129990,8.440000,0.000569,0.002900,-0.204407,0.978881,0.000300,0.000000,-2.005000
42,True,True,-1.000000,1.000000,77.729996,-29.910000,18.639999,400.489990,-227.889999,8.440000,0.000596,0.002894,-0.212580,0.977139,0.000300,0.000000,-2.023600
43,True,True,-1.000000,1.000000,81.070000,-31.809999,18.639999,405.079987,-237.860001,8.440000,0.000623,0.002889,-0.220813,0.975312,0.000300,0.000000,-2.041100
44,True,True,-1.000000,1.000000,84.449997,-33.790001,18.639999,409.329987,-248.039993,8.440000,0.000650,0.002884,-0.229099,0.973399,0.000300,0.000000,-2.057600
45,True,True,-1.000000,1.000000,87.860001,-35.860001,18.639999,413.239990,-258.419983,8.440000,0.000677,0.002878,-0.237434,0.971399,0.000300,0.000000,-2.073200
46,True,True,-1.000000,1.000000,91.299995,-38.009998,18.639999,416.809998,-268.989990,8.440000,0.000704,0.002873,-0.245817,0.969311,0.000300,0.000000,-2.087800
47,True,True,-1.000000,1.000000,94.769997,-40.250000,18.639999,420.029999,-279.739990,8.440000,0.000731,0.002867,-0.254239,0.967137,0.000300,0.000000,-2.101500
48,True,True,-1.000000,1.000000,98.269997,-42.579998,18.639999,422.869995,-290.679993,8.440000,0.000758,0.002862,-0.262698,0.964873,0.000200,0.000000,-2.114700
49,True,True,-1.000000,1.000000,101.790001,-45.000000,18.639999,425.309998,-301.809998,8.440000,0.000785,0.002857,-0.271189,0.962521,0.000200,0.000000,-2.128200
