frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,False,False,False,False,0.000000,1.000000,0.350000,1.980000,122.000000,1.030000,12.990000,341.679993,-0.378341,0.002792,0.001065,0.925661,-5.444300,0.000000,0.031500
35,False,False,False,False,0.000000,1.000000,0.360000,2.090000,124.799995,1.030000,12.990000,336.259979,-0.399629,0.002765,0.001125,0.916672,-5.499900,0.000000,0.031800
36,False,False,False,False,0.000000,1.000000,0.370000,2.200000,127.559998,1.030000,12.990000,330.839996,-0.420906,0.002738,0.001184,0.907099,-5.499900,0.000000,0.031800
37,False,False,False,False,0.000000,1.000000,0.380000,2.310000,130.270004,1.030000,12.990000,325.419983,-0.441957,0.002705,0.001244,0.897031,-5.499900,0.000000,0.031800
38,False,False,False,False,0.000000,1.000000,0.390000,2.420000,132.940002,1.030000,12.990000,320.000000,-0.462765,0.002673,0.001303,0.886476,-5.499900,0.000000,0.031800
39,False,False,False,False,0.000000,1.000000,0.400000,2.530000,135.559998,1.030000,12.990000,314.579987,-0.483319,0.002641,0.001362,0.875439,-5.499900,0.000000,0.031800
40,False,False,False,False,0.000000,1.000000,0.410000,2.640000,138.139999,1.030000,12.990000,309.160004,-0.503614,0.002608,0.001416,0.863923,-5.499900,0.000000,0.031800
41,False,False,False,False,0.000000,1.000000,0.420000,2.750000,140.669998,1.030000,12.990000,303.739990,-0.523634,0.002571,0.001470,0.851938,-5.499900,0.000000,0.031800
42,False,False,False,False,0.000000,1.000000,0.430000,2.860000,143.160004,1.030000,12.990000,298.320007,-0.543369,0.002533,0.001524,0.839489,-5.499900,0.000000,0.031800
43,False,False,False,False,0.000000,1.000000,0.440000,2.970000,145.599991,1.030000,12.990000,292.899994,-0.562806,0.002495,0.001578,0.826584,-5.499900,0.000000,0.031800
44,False,False,False,False,0.000000,1.000000,0.450000,3.080000,148.000000,1.030000,12.990000,287.479980,-0.581936,0.002457,0.001632,0.813229,-5.499900,0.000000,0.031800
45,False,False,False,False,0.000000,1.000000,0.460000,3.190000,150.349991,1.030000,12.990000,282.059998,-0.600753,0.002414,0.001686,0.799429,-5.499900,0.000000,0.031800
46,False,False,False,False,0.000000,1.000000,0.470000,3.300000,152.660004,1.030000,12.990000,276.639984,-0.619241,0.002371,0.001740,0.785195,-5.499900,0.000000,0.031800
47,False,False,False,False,0.000000,1.000000,0.480000,3.410000,154.919998,1.030000,12.990000,271.220001,-0.637389,0.002328,0.001788,0.770536,-5.499900,0.000000,0.031800
48,False,False,False,False,0.000000,1.000000,0.490000,3.520000,157.139999,1.030000,12.990000,265.799988,-0.655192,0.002285,0.001837,0.755456,-5.499900,0.000000,0.031800
