frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,False,False,False,False,0.000000,1.000000,0.350000,1.980000,121.989998,1.040000,12.990000,341.669983,-0.378341,0.002970,0.001152,0.925661,-5.444300,0.000000,0.033700
35,False,False,False,False,0.000000,1.000000,0.360000,2.090000,124.790001,1.040000,12.990000,336.250000,-0.399629,0.002943,0.001217,0.916671,-5.499800,0.000000,0.034000
36,False,False,False,False,0.000000,1.000000,0.370000,2.200000,127.549995,1.040000,12.990000,330.829987,-0.420906,0.002910,0.001281,0.907098,-5.499800,0.000000,0.034000
37,False,False,False,False,0.000000,1.000000,0.380000,2.310000,130.259995,1.040000,12.990000,325.410004,-0.441957,0.002878,0.001346,0.897031,-5.499800,0.000000,0.034000
38,False,False,False,False,0.000000,1.000000,0.390000,2.420000,132.929993,1.040000,12.990000,319.989990,-0.462765,0.002846,0.001411,0.886475,-5.499800,0.000000,0.034000
39,False,False,False,False,0.000000,1.000000,0.400000,2.530000,135.550003,1.040000,12.990000,314.570007,-0.483319,0.002813,0.001470,0.875439,-5.499800,0.000000,0.034000
40,False,False,False,False,0.000000,1.000000,0.410000,2.640000,138.129990,1.040000,12.990000,309.149994,-0.503614,0.002776,0.001529,0.863923,-5.499800,0.000000,0.034000
41,False,False,False,False,0.000000,1.000000,0.420000,2.750000,140.660004,1.040000,12.990000,303.729980,-0.523634,0.002738,0.001589,0.851937,-5.499800,0.000000,0.034000
42,False,False,False,False,0.000000,1.000000,0.430000,2.860000,143.149994,1.040000,12.990000,298.309998,-0.543369,0.002700,0.001648,0.839488,-5.499800,0.000000,0.034000
43,False,False,False,False,0.000000,1.000000,0.440000,2.970000,145.589996,1.040000,12.990000,292.889984,-0.562806,0.002657,0.001707,0.826583,-5.499800,0.000000,0.034000
44,False,False,False,False,0.000000,1.000000,0.450000,3.080000,147.989990,1.040000,12.990000,287.470001,-0.581936,0.002614,0.001767,0.813228,-5.499800,0.000000,0.034000
45,False,False,False,False,0.000000,1.000000,0.460000,3.190000,150.339996,1.040000,12.990000,282.049988,-0.600748,0.002571,0.001821,0.799432,-5.499800,0.000000,0.034000
46,False,False,False,False,0.000000,1.000000,0.470000,3.300000,152.649994,1.040000,12.990000,276.630005,-0.619236,0.002527,0.001875,0.785199,-5.499800,0.000000,0.034000
