frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
19,True,True,False,False,0.000000,1.000000,0.280000,0.330000,72.919998,1.520000,10.490000,411.059998,-0.103583,0.004777,0.000483,0.994609,-3.290400,0.000000,0.031200
20,True,True,False,False,0.000000,1.000000,0.290000,0.440000,76.400002,1.630000,12.990000,417.529999,-0.117987,0.004772,0.000553,0.993003,-3.478500,0.000000,0.033000
21,False,False,False,False,0.000000,1.000000,0.300000,0.550000,79.830002,1.630000,12.990000,412.109985,-0.133114,0.004761,0.000623,0.991089,-3.659100,0.000000,0.034700
22,False,False,False,False,0.000000,1.000000,0.310000,0.660000,83.220001,1.630000,12.990000,406.690002,-0.148921,0.004750,0.000699,0.988837,-3.832400,0.000000,0.036300
23,False,False,False,False,0.000000,1.000000,0.320000,0.770000,86.559998,1.630000,12.990000,401.269989,-0.165375,0.004739,0.000774,0.986219,-3.998800,0.000000,0.037900
24,False,False,False,False,0.000000,1.000000,0.330000,0.880000,89.860001,1.630000,12.990000,395.850006,-0.182439,0.004723,0.000855,0.983205,-4.158600,0.000000,0.039400
25,False,False,False,False,0.000000,1.000000,0.340000,0.990000,93.110001,1.630000,12.990000,390.429993,-0.200075,0.004707,0.000936,0.979769,-4.312000,0.000000,0.040800
26,False,False,False,False,0.000000,1.000000,0.350000,1.100000,96.320000,1.630000,12.990000,385.009979,-0.218245,0.004691,0.001022,0.975882,-4.459300,0.000000,0.042200
27,False,False,False,False,0.000000,1.000000,0.360000,1.210000,99.479996,1.630000,12.990000,379.589996,-0.236911,0.004669,0.001109,0.971520,-4.600700,0.000000,0.043500
28,False,False,False,False,0.000000,1.000000,0.370000,1.320000,102.599998,1.630000,12.990000,374.169983,-0.256035,0.004648,0.001200,0.966655,-4.736400,0.000000,0.044800
29,False,False,False,False,0.000000,1.000000,0.380000,1.430000,105.669998,1.630000,12.990000,368.750000,-0.275586,0.004621,0.001292,0.961264,-4.866700,0.000000,0.046000
30,False,False,False,False,0.000000,1.000000,0.390000,1.540000,108.699997,1.630000,12.990000,363.329987,-0.295520,0.004594,0.001384,0.955324,-4.991800,0.000000,0.047200
31,False,False,False,False,0.000000,1.000000,0.400000,1.650000,111.680000,1.630000,12.990000,357.910004,-0.315799,0.004561,0.001481,0.948814,-5.111900,0.000000,0.048300
32,False,False,False,False,0.000000,1.000000,0.410000,1.760000,114.619995,1.630000,12.990000,352.489990,-0.336391,0.004529,0.001578,0.941710,-5.227200,0.000000,0.049400
33,False,False,False,False,0.000000,1.000000,0.420000,1.870000,117.509995,1.630000,12.990000,347.070007,-0.357253,0.004491,0.001675,0.933995,-5.337900,0.000000,0.050400
34,False,False,False,False,0.000000,1.000000,0.430000,1.980000,120.360001,1.630000,12.990000,341.649994,-0.378347,0.004453,0.001772,0.925652,-5.444200,0.000000,0.051400
35,False,False,False,False,0.000000,1.000000,0.440000,2.090000,123.159996,1.630000,12.990000,336.229980,-0.399635,0.004410,0.001869,0.916662,-5.499700,0.000000,0.051900
36,False,False,False,False,0.000000,1.000000,0.450000,2.200000,125.919998,1.630000,12.990000,330.809998,-0.420912,0.004367,0.001966,0.907089,-5.499700,0.000000,0.051900
37,False,False,False,False,0.000000,1.000000,0.460000,2.310000,128.629990,1.630000,12.990000,325.389984,-0.441962,0.004319,0.002064,0.897021,-5.499700,0.000000,0.051900
38,False,False,False,False,0.000000,1.000000,0.470000,2.420000,131.300003,1.630000,12.990000,319.970001,-0.462770,0.004270,0.002161,0.886465,-5.499700,0.000000,0.051900
39,False,False,False,False,0.000000,1.000000,0.480000,2.530000,133.919998,1.630000,12.990000,314.549988,-0.483324,0.004216,0.002258,0.875428,-5.499700,0.000000,0.051900
40,False,False,False,False,0.000000,1.000000,0.490000,2.640000,136.500000,1.630000,12.990000,309.130005,-0.503620,0.004162,0.002349,0.863912,-5.499700,0.000000,0.051900
41,False,False,False,False,0.000000,1.000000,0.500000,2.750000,139.029999,1.630000,12.990000,303.709991,-0.523640,0.004103,0.002441,0.851926,-5.499700,0.000000,0.051900
42,False,False,False,False,0.000000,1.000000,0.510000,2.860000,141.520004,1.630000,12.990000,298.290009,-0.543374,0.004043,0.002533,0.839477,-5.499700,0.000000,0.051900
43,False,False,False,False,0.000000,1.000000,0.520000,2.970000,143.959991,1.630000,12.990000,292.869995,-0.562812,0.003984,0.002625,0.826571,-5.499700,0.000000,0.051900
44,False,False,False,False,0.000000,1.000000,0.530000,3.080000,146.360001,1.630000,12.990000,287.449982,-0.581942,0.003919,0.002711,0.813217,-5.499700,0.000000,0.051900
45,False,False,False,False,0.000000,1.000000,0.540000,3.190000,148.709991,1.630000,12.990000,282.029999,-0.600753,0.003855,0.002797,0.799420,-5.499700,0.000000,0.051900
46,False,False,False,False,0.000000,1.000000,0.550000,3.300000,151.019989,1.630000,12.990000,276.609985,-0.619241,0.003784,0.002884,0.785186,-5.499700,0.000000,0.051900
47,False,False,False,False,0.000000,1.000000,0.560000,3.410000,153.279999,1.630000,12.990000,271.190002,-0.637389,0.003714,0.002970,0.770527,-5.499700,0.000000,0.051900
48,False,False,False,False,0.000000,1.000000,0.570000,3.520000,155.489990,1.630000,12.990000,265.769989,-0.655192,0.003644,0.003051,0.755447,-5.499700,0.000000,0.051900
49,False,False,False,False,0.000000,1.000000,0.580000,3.630000,157.660004,1.630000,12.990000,260.350006,-0.672639,0.003569,0.003132,0.739955,-5.499700,0.000000,0.051900
50,False,False,False,False,0.000000,1.000000,0.590000,3.740000,159.779999,1.630000,12.990000,254.929993,-0.689719,0.003493,0.003213,0.724061,-5.499700,0.000000,0.051900
51,False,False,False,False,0.000000,1.000000,0.600000,3.850000,161.860001,1.630000,12.990000,249.509995,-0.706422,0.003418,0.003288,0.707775,-5.499700,0.000000,0.051900
52,False,False,False,False,0.000000,1.000000,0.610000,3.960000,163.889999,1.630000,12.990000,244.089996,0.722743,-0.003337,-0.003364,-0.691100,-5.499700,0.000000,0.051900
53,False,False,False,False,0.000000,1.000000,0.620000,4.070000,165.879990,1.630000,12.990000,238.669998,0.738668,-0.003256,-0.003439,-0.674053,-5.499700,0.000000,0.051900
54,False,False,False,False,0.000000,1.000000,0.630000,4.180000,167.819992,1.630000,12.990000,233.250000,0.754191,-0.003175,-0.003509,-0.656638,-5.499700,0.000000,0.051900
55,False,False,False,False,0.000000,1.000000,0.640000,4.290000,169.720001,1.630000,12.990000,227.830002,0.769307,-0.003089,-0.003579,-0.638862,-5.499700,0.000000,0.051900
