frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,True,True,-1.000000,1.000000,52.820000,-17.590000,17.000000,352.489990,-158.419998,8.410000,0.000688,0.004675,-0.154397,0.987998,0.000200,0.000000,-1.887600
35,True,True,-1.000000,1.000000,55.759998,-18.910000,17.000000,359.419983,-166.709991,8.410000,0.000726,0.004669,-0.162160,0.986753,0.000200,0.000000,-1.913900
36,True,True,-1.000000,1.000000,58.759998,-20.299999,17.000000,366.059998,-175.259995,8.410000,0.000763,0.004664,-0.170026,0.985428,0.000200,0.000000,-1.938900
37,True,True,-1.000000,1.000000,61.809998,-21.760000,17.000000,372.399994,-184.059998,8.410000,0.000801,0.004658,-0.177983,0.984022,0.000200,0.000000,-1.962700
38,True,True,-1.000000,1.000000,64.909996,-23.289999,17.000000,378.440002,-193.110001,8.410000,0.000839,0.004653,-0.186027,0.982533,0.000200,0.000000,-1.985300
39,True,True,-1.000000,1.000000,68.059998,-24.900000,17.000000,384.160004,-202.399994,8.410000,0.000877,0.004648,-0.194146,0.980961,0.000300,0.000000,-2.006700
40,True,True,-1.000000,1.000000,71.260002,-26.590000,17.000000,389.559998,-211.919998,8.410000,0.000914,0.004642,-0.202341,0.979304,0.000300,0.000000,-2.027000
41,True,True,-1.000000,1.000000,74.510002,-28.359999,17.000000,394.639984,-221.669998,8.410000,0.000952,0.004637,-0.210606,0.977560,0.000300,0.000000,-2.046200
42,True,True,-1.000000,1.000000,77.799995,-30.209999,17.000000,399.380005,-231.639999,8.410000,0.000995,0.004631,-0.218930,0.975729,0.000400,0.000000,-2.064400
43,True,True,-1.000000,1.000000,81.129997,-32.139999,17.000000,403.779999,-241.830002,8.410000,0.001038,0.004621,-0.227313,0.973810,0.000400,0.000000,-2.081500
44,True,True,-1.000000,1.000000,84.489998,-34.160000,17.000000,407.839996,-252.220001,8.410000,0.001082,0.004610,-0.235751,0.971802,0.000400,0.000000,-2.097600
45,True,True,-1.000000,1.000000,87.889999,-36.259998,17.000000,411.549988,-262.809998,8.410000,0.001125,0.004599,-0.244237,0.969704,0.000400,0.000000,-2.112700
46,True,True,-1.000000,1.000000,91.320000,-38.450001,17.000000,414.899994,-273.589996,8.420000,0.001168,0.004588,-0.252766,0.967516,0.000300,0.000000,-2.126800
47,True,True,-1.000000,1.000000,94.779999,-40.730000,17.000000,417.889984,-284.549988,8.420000,0.001211,0.004577,-0.261328,0.965239,0.000300,0.000000,-2.140000
48,True,True,-1.000000,1.000000,98.259995,-43.099998,17.000000,420.479980,-295.699982,8.420000,0.001254,0.004567,-0.269922,0.962871,0.000200,0.000000,-2.153100
49,True,True,-1.000000,1.000000,101.759995,-45.559998,17.000000,422.660004,-307.039978,8.420000,0.001297,0.004556,-0.278548,0.960411,0.000200,0.000000,-2.166400
50,True,True,-1.000000,1.000000,105.279999,-48.119999,17.000000,424.429993,-318.549988,8.420000,0.001341,0.004545,-0.287207,0.957857,0.000100,0.000000,-2.179900
51,True,True,-1.000000,1.000000,108.820000,-50.770000,17.000000,425.779999,-330.220001,8.420000,0.001384,0.004534,-0.295892,0.955209,0.000100,0.000000,-2.193500
52,True,True,-1.000000,1.000000,112.369995,-53.520000,17.000000,426.720001,-342.039978,8.420000,0.001427,0.004524,-0.304610,0.952465,0.000000,0.000000,-2.207100
53,True,True,-1.000000,1.000000,115.930000,-56.369999,17.000000,427.239990,-353.989990,8.420000,0.001470,0.004513,-0.313355,0.949624,0.000000,0.000000,-2.220600
54,True,True,-1.000000,1.000000,119.489998,-59.320000,17.000000,427.339996,-366.059998,8.420000,0.001513,0.004497,-0.322127,0.946684,0.000000,0.000000,-2.233900
55,True,True,-1.000000,1.000000,123.049995,-62.369999,17.000000,427.019989,-378.239990,8.420000,0.001556,0.004480,-0.330926,0.943645,0.000000,0.000000,-2.247000
56,True,True,-1.000000,1.000000,126.610001,-65.519997,17.000000,426.279999,-390.509979,8.420000,0.001600,0.004464,-0.339747,0.940505,0.000000,0.000000,-2.259800
57,True,True,-1.000000,1.000000,130.160004,-68.769997,17.000000,425.119995,-402.859985,8.420000,0.001643,0.004448,-0.348589,0.937264,0.000000,0.000000,-2.272400
58,True,True,-1.000000,1.000000,133.699997,-72.129997,17.000000,423.529999,-415.279999,8.420000,0.001686,0.004432,-0.357447,0.933921,0.000000,0.000000,-2.284600
59,True,True,-1.000000,1.000000,137.229996,-75.589996,17.000000,421.509979,-427.759979,8.420000,0.001729,0.004416,-0.366322,0.930476,0.000000,0.000000,-2.296500
60,True,True,-1.000000,1.000000,140.739990,-79.150002,17.000000,419.059998,-440.279999,8.420000,0.001772,0.004399,-0.375207,0.926929,0.000000,0.000000,-2.308000
61,True,True,-1.000000,1.000000,144.229996,-82.820000,17.000000,416.179993,-452.839996,8.420000,0.001815,0.004383,-0.384103,0.923278,0.000000,0.000000,-2.319200
62,True,True,-1.000000,1.000000,147.699997,-86.589996,17.000000,412.869995,-465.419983,8.420000,0.001859,0.004367,-0.393004,0.919524,0.000000,0.000000,-2.330000
63,True,True,-1.000000,1.000000,151.139999,-90.470001,17.000000,409.130005,-478.000000,8.420000,0.001902,0.004351,-0.401911,0.915666,0.000000,0.000000,-2.340400
64,True,True,-1.000000,1.000000,154.550003,-94.449997,17.000000,404.949982,-490.579987,8.420000,0.001945,0.004335,-0.410823,0.911703,0.000000,0.000000,-2.350500
65,True,True,-1.000000,1.000000,157.919998,-98.540001,17.000000,400.339996,-503.139984,8.429999,0.001988,0.004313,-0.419730,0.907636,0.000000,0.000000,-2.360200
66,True,True,-1.000000,1.000000,161.259995,-102.729996,17.000000,395.299988,-515.669983,8.429999,0.002031,0.004292,-0.428637,0.903464,0.000000,0.000000,-2.369500
67,True,True,-1.000000,1.000000,164.550003,-107.029999,17.000000,389.829987,-528.149963,8.429999,0.002074,0.004270,-0.437538,0.899187,0.000000,0.000000,-2.378400
68,True,True,-1.000000,1.000000,167.800003,-111.430000,17.000000,383.919983,-540.580017,8.429999,0.002117,0.004248,-0.446429,0.894806,0.000000,0.000000,-2.386900
69,True,True,-1.000000,1.000000,171.000000,-115.930000,17.000000,377.579987,-552.929993,8.429999,0.002161,0.004227,-0.455304,0.890324,0.000000,0.000000,-2.395100
70,True,True,-1.000000,1.000000,174.149994,-120.540001,17.000000,370.819977,-565.200012,8.429999,0.002204,0.004205,-0.464167,0.885735,0.000000,0.000000,-2.402900
71,True,True,-1.000000,1.000000,177.239990,-125.250000,17.000000,363.630005,-577.380005,8.429999,0.002247,0.004184,-0.473009,0.881045,0.000000,0.000000,-2.410400
72,True,True,-1.000000,1.000000,180.269989,-130.059998,17.000000,356.019989,-589.450012,8.429999,0.002290,0.004162,-0.481835,0.876249,0.000000,0.000000,-2.417500
73,True,True,-1.000000,1.000000,183.239990,-134.970001,17.000000,347.989990,-601.390015,8.429999,0.002333,0.004141,-0.490640,0.871350,0.000000,0.000000,-2.424300
74,True,True,-1.000000,1.000000,186.139999,-139.979996,17.000000,339.549988,-613.200012,8.429999,0.002376,0.004119,-0.499417,0.866349,-0.000100,0.000000,-2.430700
75,True,True,-1.000000,1.000000,188.970001,-145.089996,17.000000,330.699982,-624.859985,8.429999,0.002420,0.004092,-0.508167,0.861245,-0.000100,0.000000,-2.436800
76,True,True,-1.000000,1.000000,191.729996,-150.300003,17.000000,321.440002,-636.359985,8.429999,0.002463,0.004065,-0.516885,0.856041,-0.000100,0.000000,-2.442600
77,True,True,-1.000000,1.000000,194.409988,-155.599991,17.000000,311.779999,-647.690002,8.429999,0.002506,0.004038,-0.525571,0.850736,-0.000100,0.000000,-2.448100
78,True,True,-1.000000,1.000000,197.009995,-161.000000,17.000000,301.720001,-658.839966,8.429999,0.002549,0.004011,-0.534219,0.845333,-0.000100,0.000000,-2.453300
79,True,True,-1.000000,1.000000,199.519989,-166.489990,17.000000,291.279999,-669.789978,8.429999,0.002592,0.003984,-0.542829,0.839830,-0.000100,0.000100,-2.458200
80,True,True,-1.000000,1.000000,201.949997,-172.069992,17.000000,280.449982,-680.539978,8.429999,0.002630,0.003957,-0.551401,0.834226,-0.000100,0.000100,-2.462800
81,True,True,-1.000000,1.000000,204.289993,-177.739990,17.000000,269.239990,-691.070007,8.429999,0.002668,0.003930,-0.559931,0.828526,-0.000100,0.000100,-2.467100
82,True,True,-1.000000,1.000000,206.529999,-183.500000,17.000000,257.660004,-701.369995,8.429999,0.002705,0.003903,-0.568417,0.822727,-0.000100,0.000100,-2.471100
83,True,True,-1.000000,1.000000,208.679993,-189.339996,17.000000,245.720001,-711.419983,8.429999,0.002743,0.003876,-0.576860,0.816829,-0.000100,0.000100,-2.474800
84,True,True,-1.000000,1.000000,210.729996,-195.269989,17.000000,233.419998,-721.219971,8.429999,0.002781,0.003849,-0.585254,0.810836,0.000000,0.000100,-2.478300
85,True,True,-1.000000,1.000000,212.679993,-201.279999,17.000000,220.769989,-730.760010,8.429999,0.002819,0.003822,-0.593594,0.804750,0.000000,0.000100,-2.481500
86,True,True,-1.000000,1.000000,214.519989,-207.369995,17.000000,207.779999,-740.019958,8.429999,0.002857,0.003795,-0.601881,0.798572,0.000000,0.000000,-2.484500
87,True,True,-1.000000,1.000000,216.250000,-213.539993,17.000000,194.459991,-749.000000,8.429999,0.002894,0.003763,-0.610113,0.792300,0.000000,0.000000,-2.487300
88,True,True,-1.000000,1.000000,217.869995,-219.779999,17.000000,180.819992,-757.690002,8.429999,0.002932,0.003731,-0.618292,0.785934,0.000000,0.000000,-2.489800
89,True,True,-1.000000,1.000000,219.379990,-226.089996,17.000000,166.860001,-766.070007,8.429999,0.002970,0.003698,-0.626411,0.779478,0.000000,0.000000,-2.492100
90,True,True,-1.000000,1.000000,220.769989,-232.470001,17.000000,152.589996,-774.139954,8.429999,0.003008,0.003666,-0.634471,0.772932,0.000000,0.000000,-2.494200
91,True,True,-1.000000,1.000000,222.039993,-238.919998,17.000000,138.029999,-781.889954,8.429999,0.003045,0.003633,-0.642471,0.766295,0.000000,0.000000,-2.496100
92,True,True,-1.000000,1.000000,223.190002,-245.439987,17.000000,123.180000,-789.309998,8.429999,0.003083,0.003601,-0.650407,0.759571,0.000000,0.000000,-2.497800
93,True,True,-1.000000,1.000000,224.220001,-252.019989,17.000000,108.049995,-796.389954,8.429999,0.003121,0.003569,-0.658278,0.752760,0.000000,0.000000,-2.499300
94,True,True,-1.000000,1.000000,225.119995,-258.660004,17.000000,92.659996,-803.119995,8.429999,0.003159,0.003536,-0.666079,0.745866,0.000000,0.000000,-2.500600
95,True,True,-1.000000,1.000000,225.889999,-265.350006,17.000000,77.009995,-809.500000,8.429999,0.003196,0.003504,-0.673815,0.738885,0.000000,0.000000,-2.501700
96,True,True,-1.000000,1.000000,226.529999,-272.100006,17.000000,61.109997,-815.519958,8.429999,0.003234,0.003472,-0.681481,0.731820,0.000000,0.000000,-2.502700
97,True,True,-1.000000,1.000000,227.039993,-278.899994,17.000000,44.980000,-821.169983,8.429999,0.003272,0.003439,-0.689077,0.724672,0.000000,0.000000,-2.503500
98,True,True,-1.000000,1.000000,227.409988,-285.739990,17.000000,28.619999,-826.440002,8.429999,0.003310,0.003407,-0.696598,0.717446,0.000000,0.000000,-2.504100
99,True,True,-1.000000,1.000000,227.649994,-292.630005,17.000000,12.050000,-831.329956,8.429999,0.003347,0.003374,-0.704048,0.710136,0.000000,0.000000,-2.504600
100,True,True,-1.000000,1.000000,227.750000,-299.559998,17.000000,-4.720000,-835.829956,8.429999,-0.003380,-0.003337,0.711418,-0.702753,0.000000,0.000000,-2.504900
101,True,True,-1.000000,1.000000,227.709991,-306.529999,17.000000,-21.680000,-839.940002,8.429999,-0.003412,-0.003299,0.718712,-0.695292,0.000000,0.000000,-2.505100
102,True,True,-1.000000,1.000000,227.529999,-313.529999,17.000000,-38.820000,-843.649963,8.429999,-0.003445,-0.003261,0.725932,-0.687750,0.000000,0.000000,-2.505100
103,True,True,-1.000000,1.000000,227.209991,-320.559998,17.000000,-56.129997,-846.959961,8.429999,-0.003477,-0.003223,0.733069,-0.680138,0.000000,0.000000,-2.505000
104,True,True,-1.000000,1.000000,226.739990,-327.619995,17.000000,-73.599998,-849.859985,8.429999,-0.003509,-0.003186,0.740127,-0.672450,0.000000,0.000000,-2.504700
105,True,True,-1.000000,1.000000,226.129990,-334.699982,17.000000,-91.220001,-852.349976,8.429999,-0.003542,-0.003148,0.747107,-0.664687,0.000100,0.000000,-2.504300
106,True,True,-1.000000,1.000000,225.369995,-341.799988,17.000000,-108.979996,-854.419983,8.429999,-0.003574,-0.003110,0.754003,-0.656854,0.000100,0.000000,-2.503800
107,True,True,-1.000000,1.000000,224.459991,-348.919983,17.000000,-126.860001,-856.070007,8.429999,-0.003606,-0.003072,0.760816,-0.648951,0.000100,0.000000,-2.503200
108,True,True,-1.000000,1.000000,223.399994,-356.049988,17.000000,-144.849991,-857.289978,8.429999,-0.003639,-0.003035,0.767541,-0.640982,0.000100,0.000000,-2.502400
109,True,True,-1.000000,1.000000,222.190002,-363.190002,17.000000,-162.940002,-858.089966,8.429999,-0.003671,-0.002997,0.774183,-0.632944,0.000100,0.000000,-2.501500
110,True,True,-1.000000,1.000000,220.830002,-370.339996,17.000000,-181.119995,-858.459961,8.429999,-0.003704,-0.002959,0.780737,-0.624841,0.000100,0.000000,-2.500500
111,True,True,-1.000000,1.000000,219.319992,-377.489990,17.000000,-199.379990,-858.399963,8.429999,-0.003736,-0.002921,0.787205,-0.616673,0.000100,0.000000,-2.499400
112,True,True,-1.000000,1.000000,217.659988,-384.639984,17.000000,-217.699997,-857.899963,8.429999,-0.003768,-0.002884,0.793585,-0.608441,0.000100,0.000000,-2.498200
113,True,True,-1.000000,1.000000,215.849991,-391.789978,17.000000,-236.080002,-856.969971,8.429999,-0.003801,-0.002846,0.799874,-0.600149,0.000100,0.000000,-2.496900
114,True,True,-1.000000,1.000000,213.879990,-398.929993,17.000000,-254.500000,-855.609985,8.429999,-0.003828,-0.002808,0.806076,-0.591793,0.000100,0.000000,-2.495500
115,True,True,-1.000000,1.000000,211.759995,-406.059998,17.000000,-272.949982,-853.809998,8.429999,-0.003855,-0.002770,0.812188,-0.583377,0.000100,0.000000,-2.494000
116,True,True,-1.000000,1.000000,209.489990,-413.179993,17.000000,-291.410004,-851.570007,8.429999,-0.003882,-0.002732,0.818205,-0.574907,0.000100,0.000000,-2.492500
117,True,True,-1.000000,1.000000,207.059998,-420.279999,17.000000,-309.880005,-848.889954,8.429999,-0.003909,-0.002695,0.824132,-0.566378,0.000000,0.000000,-2.490900
118,True,True,-1.000000,1.000000,204.479996,-427.349976,17.000000,-328.339996,-845.779968,8.429999,-0.003936,-0.002652,0.829966,-0.557794,0.000000,0.000000,-2.489200
