frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,0.000000,0.000000,-2000.000000,-4499.879883,18.629999,0.000000,-0.010000,8.429999,-0.002269,0.002274,0.707101,0.707105,0.000600,0.000000,0.000000
1,False,True,True,0.000000,1.000000,-2000.000000,-4499.810059,18.629999,0.000000,21.510000,8.389999,-0.002269,0.002274,0.707101,0.707105,0.001000,0.000000,0.000000
2,False,True,True,0.000000,1.000000,-2000.000000,-4499.560059,18.629999,0.000000,42.849998,8.370000,-0.002263,0.002269,0.707101,0.707105,0.001200,0.000000,0.000000
3,False,True,True,0.000000,1.000000,-2000.000000,-4499.129883,18.629999,0.000000,64.000000,8.349999,-0.002258,0.002263,0.707101,0.707105,0.001200,0.000000,0.000000
4,False,True,True,0.000000,1.000000,-2000.000000,-4498.529785,18.629999,0.000000,84.970001,8.340000,-0.002252,0.002258,0.707101,0.707105,0.001100,0.000000,0.000000
5,False,True,True,0.000000,1.000000,-2000.000000,-4497.750000,18.629999,0.000000,105.759995,8.330000,-0.002247,0.002252,0.707101,0.707105,0.001000,0.000000,0.000000
6,False,True,True,0.000000,1.000000,-2000.000000,-4496.799805,18.629999,0.000000,126.369995,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000900,0.000000,0.000000
7,False,True,True,0.000000,1.000000,-2000.000000,-4495.679688,18.629999,0.000000,146.809998,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000700,0.000000,0.000000
8,False,True,True,0.000000,1.000000,-2000.000000,-4494.390137,18.629999,0.000000,167.069992,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000600,0.000000,0.000000
9,False,True,True,0.000000,1.000000,-2000.000000,-4492.929688,18.629999,0.000000,187.159988,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000600,0.000000,0.000000
10,False,True,True,0.000000,1.000000,-2000.000000,-4491.299805,18.629999,0.000000,207.080002,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000600,0.000000,0.000000
11,False,True,True,0.000000,1.000000,-2000.000000,-4489.509766,18.629999,0.000000,226.830002,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
12,False,True,True,0.000000,1.000000,-2000.000000,-4487.549805,18.629999,0.000000,246.409988,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
13,False,True,True,0.000000,1.000000,-2000.000000,-4485.429688,18.629999,0.000000,265.820007,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
14,False,True,True,0.000000,1.000000,-2000.000000,-4483.149902,18.629999,0.000000,285.059998,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
15,False,True,True,0.000000,1.000000,-2000.000000,-4480.699707,18.629999,0.000000,304.139984,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
16,False,True,True,0.000000,1.000000,-2000.000000,-4478.100098,18.629999,0.000000,323.049988,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
17,False,True,True,0.000000,1.000000,-2000.000000,-4475.339844,18.629999,0.000000,341.799988,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
18,False,True,True,0.000000,1.000000,-2000.000000,-4472.419922,18.629999,0.000000,360.389984,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000500,0.000000,0.000000
19,False,True,True,0.000000,1.000000,-2000.000000,-4469.350098,18.629999,0.000000,378.819977,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000400,0.000000,0.000000
20,False,True,True,0.000000,1.000000,-2000.000000,-4466.120117,18.629999,0.000000,397.089996,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000400,0.000000,0.000000
21,False,True,True,0.000000,1.000000,-2000.000000,-4462.739746,18.629999,0.000000,415.209991,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000400,0.000000,0.000000
22,False,True,True,0.000000,1.000000,-2000.000000,-4459.209961,18.629999,0.000000,433.169983,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000400,0.000000,0.000000
23,False,True,True,0.000000,1.000000,-2000.000000,-4455.529785,18.629999,0.000000,450.979980,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000400,0.000000,0.000000
24,False,True,True,0.000000,1.000000,-2000.000000,-4451.699707,18.629999,0.000000,468.639984,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000400,0.000000,0.000000
25,False,True,True,0.000000,1.000000,-2000.000000,-4447.719727,18.629999,0.000000,486.139984,8.330000,-0.002242,0.002247,0.707101,0.707105,0.000400,0.000000,0.000000
