frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,True,True,-1.000000,1.000000,52.930000,-17.859999,17.010000,352.320007,-161.339996,8.309999,0.000704,0.004691,-0.159263,0.987225,0.000400,0.000000,-1.918800
35,True,True,-1.000000,1.000000,55.869999,-19.199999,17.010000,359.149994,-169.779999,8.309999,0.000742,0.004685,-0.167150,0.985920,0.000400,0.000000,-1.944100
36,True,True,-1.000000,1.000000,58.859997,-20.609999,17.010000,365.679993,-178.470001,8.309999,0.000780,0.004680,-0.175129,0.984534,0.000400,0.000000,-1.968200
37,True,True,-1.000000,1.000000,61.910000,-22.100000,17.010000,371.910004,-187.409988,8.309999,0.000817,0.004675,-0.183195,0.983065,0.000400,0.000000,-1.991000
38,True,True,-1.000000,1.000000,65.010002,-23.660000,17.010000,377.819977,-196.599991,8.309999,0.000855,0.004669,-0.191346,0.981511,0.000400,0.000000,-2.012700
39,True,True,-1.000000,1.000000,68.159996,-25.299999,17.010000,383.410004,-206.029999,8.309999,0.000898,0.004664,-0.199568,0.979872,0.000500,0.000000,-2.033200
40,True,True,-1.000000,1.000000,71.360001,-27.019999,17.010000,388.679993,-215.690002,8.309999,0.000941,0.004658,-0.207860,0.978147,0.000500,0.000000,-2.052600
41,True,True,-1.000000,1.000000,74.599998,-28.820000,17.010000,393.609985,-225.569992,8.320000,0.000985,0.004653,-0.216216,0.976334,0.000400,-0.000100,-2.070900
42,True,True,-1.000000,1.000000,77.879997,-30.699999,17.010000,398.199982,-235.669998,8.320000,0.001028,0.004642,-0.224632,0.974432,0.000400,-0.000100,-2.088100
43,True,True,-1.000000,1.000000,81.199997,-32.660000,17.010000,402.449982,-245.979996,8.320000,0.001071,0.004631,-0.233102,0.972441,0.000400,-0.000100,-2.104300
44,True,True,-1.000000,1.000000,84.549995,-34.709999,17.010000,406.350006,-256.489990,8.320000,0.001114,0.004621,-0.241620,0.970359,0.000300,-0.000100,-2.119500
45,True,True,-1.000000,1.000000,87.939995,-36.849998,17.010000,409.889984,-267.190002,8.320000,0.001157,0.004610,-0.250182,0.968187,0.000300,-0.000100,-2.133700
46,True,True,-1.000000,1.000000,91.360001,-39.079998,17.010000,413.069977,-278.079987,8.320000,0.001200,0.004599,-0.258781,0.965924,0.000300,-0.000100,-2.147000
47,True,True,-1.000000,1.000000,94.799995,-41.399998,17.010000,415.880005,-289.139984,8.320000,0.001244,0.004588,-0.267413,0.963570,0.000200,-0.000100,-2.159300
48,True,True,-1.000000,1.000000,98.269997,-43.809998,17.010000,418.289978,-300.389984,8.320000,0.001287,0.004577,-0.276072,0.961125,0.000200,-0.000100,-2.171700
49,True,True,-1.000000,1.000000,101.759995,-46.309998,17.010000,420.279999,-311.820007,8.320000,0.001330,0.004567,-0.284757,0.958588,0.000200,-0.000100,-2.184400
50,True,True,-1.000000,1.000000,105.259995,-48.910000,17.010000,421.859985,-323.419983,8.320000,0.001373,0.004556,-0.293470,0.955956,0.000100,-0.000100,-2.197400
51,True,True,-1.000000,1.000000,108.779999,-51.610001,17.010000,423.019989,-335.169983,8.320000,0.001416,0.004545,-0.302210,0.953230,0.000100,-0.000100,-2.210400
52,True,True,-1.000000,1.000000,112.309998,-54.399998,17.010000,423.759979,-347.059998,8.320000,0.001459,0.004534,-0.310976,0.950406,0.000000,-0.000100,-2.223400
53,True,True,-1.000000,1.000000,115.839996,-57.289997,17.010000,424.079987,-359.069977,8.320000,0.001502,0.004518,-0.319770,0.947483,0.000000,-0.000100,-2.236400
54,True,True,-1.000000,1.000000,119.369995,-60.279999,17.010000,423.979980,-371.190002,8.320000,0.001546,0.004502,-0.328585,0.944462,0.000000,-0.000100,-2.249200
55,True,True,-1.000000,1.000000,122.899994,-63.369999,17.010000,423.459991,-383.410004,8.320000,0.001589,0.004486,-0.337422,0.941342,0.000000,-0.000100,-2.261800
56,True,True,-1.000000,1.000000,126.430000,-66.570000,17.010000,422.509979,-395.720001,8.320000,0.001632,0.004470,-0.346280,0.938119,0.000000,-0.000100,-2.274100
57,True,True,-1.000000,1.000000,129.949997,-69.869995,17.010000,421.130005,-408.100006,8.320000,0.001675,0.004453,-0.355154,0.934796,0.000000,0.000000,-2.286100
58,True,True,-1.000000,1.000000,133.459991,-73.269997,17.010000,419.329987,-420.539978,8.330000,0.001718,0.004437,-0.364045,0.931369,0.000000,0.000000,-2.297800
59,True,True,-1.000000,1.000000,136.949997,-76.769997,17.010000,417.089996,-433.029999,8.330000,0.001761,0.004421,-0.372946,0.927841,0.000000,0.000000,-2.309200
60,True,True,-1.000000,1.000000,140.429993,-80.379997,17.010000,414.419983,-445.559998,8.330000,0.001805,0.004405,-0.381859,0.924208,0.000000,0.000000,-2.320200
61,True,True,-1.000000,1.000000,143.879990,-84.089996,17.010000,411.319977,-458.109985,8.330000,0.001848,0.004389,-0.390776,0.920473,0.000000,0.000000,-2.330900
62,True,True,-1.000000,1.000000,147.309998,-87.909996,17.010000,407.789978,-470.679993,8.330000,0.001891,0.004372,-0.399699,0.916634,0.000000,0.000000,-2.341200
63,True,True,-1.000000,1.000000,150.709991,-91.829994,17.010000,403.819977,-483.239990,8.330000,0.001934,0.004356,-0.408622,0.912691,0.000000,0.000000,-2.351100
64,True,True,-1.000000,1.000000,154.080002,-95.860001,17.010000,399.419983,-495.789978,8.330000,0.001977,0.004335,-0.417545,0.908644,0.000000,0.000000,-2.360600
65,True,True,-1.000000,1.000000,157.410004,-99.989998,17.010000,394.589996,-508.309998,8.330000,0.002020,0.004313,-0.426463,0.904492,0.000000,0.000000,-2.369800
66,True,True,-1.000000,1.000000,160.699997,-104.229996,17.010000,389.329987,-520.789978,8.330000,0.002064,0.004292,-0.435375,0.900236,0.000000,0.000000,-2.378600
67,True,True,-1.000000,1.000000,163.940002,-108.570000,17.010000,383.639984,-533.219971,8.330000,0.002107,0.004270,-0.444277,0.895877,0.000000,0.000000,-2.387000
68,True,True,-1.000000,1.000000,167.139999,-113.009995,17.010000,377.519989,-545.580017,8.330000,0.002150,0.004248,-0.453167,0.891413,0.000000,0.000000,-2.395000
69,True,True,-1.000000,1.000000,170.289993,-117.559998,17.010000,370.970001,-557.869995,8.330000,0.002193,0.004227,-0.462042,0.886845,0.000000,0.000000,-2.402700
