frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,893.190002,0.000000,0.130000,78.759995,-0.500868,0.500882,-0.499115,-0.499131,0.041000,0.000000,-0.000400,0.000000,-0.010000,1045.459961,0.000000,-9.320000,143.080002,-0.000094,0.000003,0.000003,1.000000,-0.022700,0.000000,0.000000
2,False,False,1.000000,-0.100000,0.000000,3.010000,892.299988,0.000000,0.120000,73.889999,-0.500987,0.501000,-0.498996,-0.499012,0.027400,0.000000,-0.000300,0.000000,-0.120000,1055.640015,0.000000,-9.309999,137.619995,-0.000192,0.000003,0.000003,1.000000,-0.022600,0.000000,0.000000
3,False,False,1.000000,-0.100000,0.000000,3.010000,892.630005,0.000000,0.110000,69.019997,-0.501025,0.501038,-0.498958,-0.498975,0.014100,0.000000,-0.000200,0.000000,-0.200000,1058.189941,0.000000,-12.719999,173.899994,-0.000283,0.000003,0.000003,1.000000,-0.022500,0.000000,0.000000
4,False,False,1.000000,-0.100000,0.000000,3.010000,893.159973,0.000000,0.100000,64.150002,-0.501025,0.501043,-0.498953,-0.498975,0.001100,0.000000,-0.000100,0.000000,-0.310000,1059.589966,0.000000,-12.710000,168.429993,-0.000375,0.000003,0.000003,1.000000,-0.022400,0.000000,0.000000
5,False,False,1.000000,-0.100000,0.000000,3.010000,893.649963,0.000000,0.090000,59.279999,-0.500998,0.501022,-0.498975,-0.499002,-0.011500,0.000000,0.000000,0.000000,-0.420000,1060.949951,0.000000,-18.510000,231.009995,-0.000467,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
6,False,False,1.000000,-0.100000,0.000000,3.010000,894.099976,0.000000,0.080000,54.410000,-0.500949,0.500973,-0.499023,-0.499050,-0.023900,0.000000,0.000000,0.000000,-0.570000,1062.829956,0.000000,-18.500000,225.529999,-0.000558,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
7,False,False,1.000000,-0.100000,0.000000,3.010000,894.510010,0.000000,0.070000,49.539997,-0.500874,0.500898,-0.499099,-0.499126,-0.036000,0.000000,0.000000,0.000000,-0.720000,1064.660034,0.000000,-18.490000,220.049988,-0.000650,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
8,False,False,1.000000,-0.100000,0.000000,3.010000,894.880005,0.000000,0.060000,44.669998,-0.500777,0.500791,-0.499201,-0.499228,-0.047900,0.000000,0.000000,0.000000,-0.870000,1066.449951,0.000000,-18.480000,214.569992,-0.000742,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
9,False,False,1.000000,-0.100000,0.000000,3.010000,895.209961,0.000000,0.050000,39.799999,-0.500652,0.500668,-0.499325,-0.499352,-0.059500,0.000000,0.000000,0.000000,-1.020000,1068.189941,0.000000,-18.469999,209.089996,-0.000833,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
