frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,False,False,False,False,0.000000,1.000000,0.810000,1.980000,120.389999,2.950000,12.990000,341.559998,-0.378341,0.007793,0.003115,0.925628,-5.443700,0.000000,0.090400
35,False,False,False,False,0.000000,1.000000,0.830000,2.090000,123.189995,2.950000,12.990000,336.139984,-0.399629,0.007717,0.003288,0.916638,-5.499200,0.000000,0.091300
36,False,False,False,False,0.000000,1.000000,0.850000,2.200000,125.949997,2.950000,12.990000,330.720001,-0.420906,0.007636,0.003461,0.907065,-5.499200,0.000000,0.091300
37,False,False,False,False,0.000000,1.000000,0.870000,2.310000,128.660004,2.950000,12.990000,325.299988,-0.441951,0.007550,0.003633,0.897000,-5.499200,0.000000,0.091300
38,False,False,False,False,0.000000,1.000000,0.890000,2.420000,131.330002,2.950000,12.990000,319.880005,-0.462759,0.007464,0.003806,0.886444,-5.499200,0.000000,0.091300
39,False,False,False,False,0.000000,1.000000,0.910000,2.530000,133.949997,2.950000,12.990000,314.459991,-0.483314,0.007372,0.003973,0.875407,-5.499200,0.000000,0.091300
40,False,False,False,False,0.000000,1.000000,0.930000,2.640000,136.529999,2.950000,12.990000,309.039978,-0.503603,0.007275,0.004141,0.863894,-5.499200,0.000000,0.091300
41,False,False,False,False,0.000000,1.000000,0.950000,2.750000,139.059998,2.950000,12.990000,303.619995,-0.523624,0.007172,0.004302,0.851909,-5.499200,0.000000,0.091300
42,False,False,False,False,0.000000,1.000000,0.970000,2.860000,141.550003,2.950000,12.990000,298.199982,-0.543358,0.007070,0.004464,0.839459,-5.499200,0.000000,0.091300
43,False,False,False,False,0.000000,1.000000,0.990000,2.970000,143.989990,2.950000,12.990000,292.779999,-0.562795,0.006962,0.004626,0.826554,-5.499200,0.000000,0.091300
44,False,False,False,False,0.000000,1.000000,1.010000,3.080000,146.379990,2.950000,12.990000,287.359985,-0.581925,0.006849,0.004782,0.813199,-5.499200,0.000000,0.091300
45,False,False,False,False,0.000000,1.000000,1.030000,3.190000,148.729996,2.950000,12.990000,281.940002,-0.600737,0.006735,0.004939,0.799403,-5.499200,0.000000,0.091300
46,False,False,False,False,0.000000,1.000000,1.050000,3.300000,151.029999,2.950000,12.990000,276.519989,-0.619225,0.006617,0.005090,0.785169,-5.499200,0.000000,0.091300
47,False,False,False,False,0.000000,1.000000,1.070000,3.410000,153.289993,2.950000,12.990000,271.100006,-0.637373,0.006493,0.005241,0.770510,-5.499200,0.000000,0.091300
48,False,False,False,False,0.000000,1.000000,1.090000,3.520000,155.500000,2.950000,12.990000,265.679993,-0.655176,0.006369,0.005387,0.755430,-5.499200,0.000000,0.091300
49,False,False,False,False,0.000000,1.000000,1.110000,3.630000,157.669998,2.950000,12.990000,260.259979,-0.672623,0.006239,0.005527,0.739938,-5.499200,0.000000,0.091300
50,False,False,False,False,0.000000,1.000000,1.130000,3.740000,159.789993,2.950000,12.990000,254.839996,-0.689703,0.006104,0.005667,0.724044,-5.499200,0.000000,0.091300
51,False,False,False,False,0.000000,1.000000,1.150000,3.850000,161.869995,2.950000,12.990000,249.419998,-0.706405,0.005969,0.005802,0.707758,-5.499200,0.000000,0.091300
52,False,False,False,False,0.000000,1.000000,1.170000,3.960000,163.899994,2.950000,12.990000,244.000000,0.722726,-0.005829,-0.005937,-0.691084,-5.499200,0.000000,0.091300
53,False,False,False,False,0.000000,1.000000,1.190000,4.070000,165.889999,2.950000,12.990000,238.580002,0.738651,-0.005689,-0.006066,-0.674037,-5.499200,0.000000,0.091300
54,False,False,False,False,0.000000,1.000000,1.210000,4.180000,167.830002,2.950000,12.990000,233.159988,0.754174,-0.005543,-0.006196,-0.656622,-5.499200,0.000000,0.091300
55,False,False,False,False,0.000000,1.000000,1.230000,4.290000,169.729996,2.950000,12.990000,227.739990,0.769290,-0.005392,-0.006320,-0.638846,-5.499200,0.000000,0.091300
56,False,False,False,False,0.000000,1.000000,1.250000,4.400000,171.580002,2.950000,12.990000,222.319992,0.783984,-0.005241,-0.006439,-0.620725,-5.499200,0.000000,0.091300
57,False,False,False,False,0.000000,1.000000,1.270000,4.510000,173.389999,2.950000,12.990000,216.899994,0.798254,-0.005085,-0.006557,-0.602264,-5.499200,0.000000,0.091300
58,False,False,False,False,0.000000,1.000000,1.290000,4.620000,175.149994,2.950000,12.990000,211.479996,0.812090,-0.004928,-0.006671,-0.583474,-5.499200,0.000000,0.091300
59,False,False,False,False,0.000000,1.000000,1.310000,4.730000,176.869995,2.950000,12.990000,206.059998,0.825480,-0.004766,-0.006779,-0.564371,-5.499200,0.000000,0.091300
60,False,False,False,False,0.000000,1.000000,1.330000,4.840000,178.539993,2.950000,12.990000,200.639999,0.838421,-0.004604,-0.006886,-0.544960,-5.499200,0.000000,0.091200
61,False,False,False,False,0.000000,1.000000,1.350000,4.950000,180.169998,2.950000,12.990000,195.220001,0.850906,-0.004437,-0.006989,-0.525253,-5.499200,0.000000,0.091200
62,False,False,False,False,0.000000,1.000000,1.370000,5.060000,181.750000,2.950000,12.990000,189.800003,0.862928,-0.004270,-0.007086,-0.505260,-5.499200,0.000000,0.091100
63,False,False,False,False,0.000000,1.000000,1.390000,5.170000,183.289993,2.950000,12.990000,184.379990,0.874480,-0.004103,-0.007178,-0.484991,-5.499200,0.000000,0.091100
64,False,False,False,False,0.000000,1.000000,1.410000,5.280000,184.779999,2.950000,12.990000,178.959991,0.885556,-0.003930,-0.007270,-0.464459,-5.499200,0.000000,0.091000
65,False,False,False,False,0.000000,1.000000,1.430000,5.390000,186.229996,2.950000,12.990000,173.539993,0.896151,-0.003757,-0.007356,-0.443672,-5.499200,0.000000,0.091000
66,False,False,False,False,0.000000,1.000000,1.450000,5.500000,187.629990,2.950000,12.990000,168.119995,0.906258,-0.003585,-0.007437,-0.422643,-5.499200,0.000000,0.090900
67,False,False,False,False,0.000000,1.000000,1.470000,5.610000,188.989990,2.950000,12.990000,162.699997,0.915873,-0.003407,-0.007512,-0.401382,-5.499200,0.000000,0.090900
68,False,False,False,False,0.000000,1.000000,1.490000,5.720000,190.300003,2.950000,12.990000,157.279999,0.924988,-0.003229,-0.007588,-0.379906,-5.499200,0.000000,0.090800
69,False,False,False,False,0.000000,1.000000,1.510000,5.830000,191.569992,2.950000,12.990000,151.860001,0.933599,-0.003051,-0.007658,-0.358224,-5.499200,0.000000,0.090800
70,False,False,False,False,0.000000,1.000000,1.530000,5.940000,192.789993,2.950000,12.990000,146.440002,0.941704,-0.002867,-0.007723,-0.336343,-5.499200,0.000000,0.090800
71,True,True,False,False,0.000000,0.000000,1.520000,7.590000,192.080002,-0.720000,197.759995,-84.610001,0.948875,-0.002695,-0.007782,-0.315546,-5.279500,0.000000,0.087100
72,False,False,True,True,1.000000,0.000000,1.580000,9.240000,191.330002,7.540000,197.750000,-90.159996,0.955326,-0.002830,-0.007933,-0.295434,-5.069500,0.045400,0.022800
73,False,False,True,True,1.000000,0.000000,1.720000,10.889999,190.529999,16.350000,197.739990,-95.720001,0.961118,-0.003272,-0.008170,-0.275996,-4.868000,0.088100,-0.043200
74,False,False,True,True,1.000000,0.000000,1.930000,12.540000,189.690002,25.160000,197.720001,-101.290001,0.966305,-0.004022,-0.008489,-0.257228,-4.674600,0.128000,-0.110900
75,False,False,True,True,1.000000,0.000000,2.210000,14.190000,188.800003,33.969997,197.679993,-106.860001,0.970938,-0.005085,-0.008883,-0.239112,-4.489000,0.165100,-0.180100
76,False,False,True,True,1.000000,0.000000,2.570000,15.839999,187.860001,42.779999,197.629990,-112.449997,0.975063,-0.006455,-0.009347,-0.221638,-4.310900,0.199300,-0.250800
77,False,False,True,True,1.000000,0.000000,3.000000,17.490000,186.879990,51.590000,197.550003,-118.049995,0.978722,-0.008138,-0.009875,-0.204790,-4.140000,0.230600,-0.322800
78,False,False,True,True,1.000000,0.000000,3.500000,19.139999,185.849991,60.399998,197.440002,-123.659996,0.981954,-0.010134,-0.010458,-0.188557,-3.976100,0.259000,-0.396000
79,False,False,True,True,1.000000,0.000000,4.080000,20.779999,184.769989,69.209999,197.289993,-129.289993,0.984795,-0.012449,-0.011089,-0.172917,-3.818800,0.284600,-0.470300
80,False,False,True,True,1.000000,0.000000,4.730000,22.420000,183.649994,78.019997,197.099991,-134.929993,0.987277,-0.015076,-0.011763,-0.157855,-3.668000,0.307300,-0.545600
81,False,False,True,True,1.000000,0.000000,5.450000,24.059999,182.479996,86.830002,196.869995,-140.589996,0.989429,-0.018021,-0.012476,-0.143354,-3.523300,0.327100,-0.621700
82,False,False,True,True,1.000000,0.000000,6.250000,25.699999,181.259995,95.639999,196.580002,-146.259995,0.991276,-0.021280,-0.013220,-0.129397,-3.384600,0.344100,-0.698600
83,False,False,True,True,1.000000,0.000000,7.120000,27.340000,179.989990,104.439995,196.229996,-151.949997,0.992844,-0.024857,-0.013991,-0.115964,-3.251600,0.358400,-0.776100
84,False,False,True,True,1.000000,0.000000,8.059999,28.969999,178.679993,113.239998,195.819992,-157.660004,0.994151,-0.028752,-0.014784,-0.103044,-3.124100,0.369900,-0.854200
85,False,False,True,True,1.000000,0.000000,9.080000,30.599998,177.319992,122.040001,195.339996,-163.379990,0.995218,-0.032960,-0.015594,-0.090614,-3.002000,0.378800,-0.932800
86,False,False,True,True,1.000000,0.000000,10.170000,32.219997,175.910004,130.830002,194.779999,-169.119995,0.996062,-0.037486,-0.016414,-0.078654,-2.885000,0.385100,-1.011800
87,False,False,True,True,1.000000,0.000000,11.330000,33.840000,174.449997,139.610001,194.139999,-174.869995,0.996695,-0.042330,-0.017234,-0.067152,-2.773000,0.388800,-1.091100
88,False,False,True,True,1.000000,0.000000,12.570000,35.450001,172.940002,148.389999,193.409988,-180.629990,0.997132,-0.047488,-0.018054,-0.056093,-2.665700,0.390000,-1.170600
89,False,False,True,True,1.000000,0.000000,13.880000,37.049999,171.389999,157.160004,192.589996,-186.409988,0.997383,-0.052964,-0.018868,-0.045459,-2.563100,0.388800,-1.250300
90,False,False,True,True,1.000000,0.000000,15.259999,38.649998,169.789993,165.919998,191.669998,-192.199997,0.997457,-0.058752,-0.019672,-0.035231,-2.464900,0.385300,-1.330100
91,False,False,True,True,1.000000,0.000000,16.719999,40.239998,168.139999,174.669998,190.639999,-197.989990,0.997361,-0.064859,-0.020460,-0.025396,-2.371100,0.379500,-1.409900
92,False,False,True,True,1.000000,0.000000,18.250000,41.820000,166.440002,183.399994,189.500000,-203.789993,0.997103,-0.071279,-0.021226,-0.015939,-2.281500,0.371500,-1.489700
93,False,False,True,True,1.000000,0.000000,19.850000,43.389999,164.690002,192.119995,188.250000,-209.599991,0.996687,-0.078012,-0.021970,-0.006849,-2.195900,0.361400,-1.569400
94,False,False,True,True,1.000000,0.000000,21.520000,44.950001,162.889999,200.819992,186.879990,-215.409988,0.996116,-0.085057,-0.022688,0.001896,-2.114200,0.349300,-1.649000
95,False,False,True,True,1.000000,0.000000,23.269999,46.489998,161.050003,209.500000,185.379990,-221.220001,0.995393,-0.092416,-0.023368,0.010301,-2.036300,0.335300,-1.728500
96,False,False,True,True,1.000000,0.000000,25.090000,48.020000,159.160004,218.149994,183.750000,-227.029999,0.994519,-0.100087,-0.024015,0.018388,-1.962100,0.319400,-1.807800
97,False,False,True,True,1.000000,0.000000,26.980000,49.539997,157.220001,226.779999,181.979996,-232.830002,0.993494,-0.108066,-0.024619,0.026162,-1.891500,0.301800,-1.886900
